,reaction_id,smiles,products_run
0,0,[N:1]#[C:2][C@@H:3]([NH2:4])[CH2:5][Br:6].[H-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
1,1,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Cl:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
2,2,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Br:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
3,3,[CH3:1][CH2:2][C@H:3]([Br:4])[C:5]#[N:6].[Cl-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
5,5,[CH3:1][C@@:2]([Cl:3])([C:4]#[N:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8], [2, 1, 0, 8]]"
6,6,[N:1]#[C:2][CH2:3][C@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
7,7,[CH3:1][CH2:2][C@:3]([NH2:4])([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
8,8,[N:1]#[C:2][CH2:3][CH2:4][F:5].[H-:6],"[[4, 3, 5], [4, 3, 2, 5]]"
9,9,[CH3:1][CH2:2][CH2:3][F:4].[H-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
10,10,[CH3:1][CH2:2][CH2:3][F:4].[F-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
11,11,[CH3:1][CH2:2][CH2:3][Cl:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
12,12,[NH2:1][CH2:2][CH2:3][Cl:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
13,13,[NH2:1][CH:2]([NH2:3])[CH2:4][Cl:5].[Cl-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
14,14,[N:1]#[C:2][C@H:3]([NH2:4])[CH2:5][Br:6].[H-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
15,15,[NH2:1][C@H:2]([CH2:3][Br:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
17,17,[N:1]#[C:2][CH2:3][CH2:4][Cl:5].[H-:6],"[[4, 3, 5], [4, 3, 2, 5]]"
18,18,[CH3:1][C@@H:2]([C:3]#[N:4])[CH2:5][Cl:6].[H-:7],"[[5, 4, 6], [5, 4, 1, 6]]"
20,20,[O:1]=[N+:2]([O-:3])[CH2:4][CH2:5][Cl:6].[Cl-:7],"[[5, 4, 6], [5, 4, 3, 6]]"
21,21,[CH3:1][CH2:2][CH2:3][Br:4].[Br-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
22,22,[CH3:1][CH:2]([CH3:3])[CH2:4][Br:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
23,23,[CH3:1][CH:2]([CH3:3])[CH2:4][Br:5].[H-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
25,25,[CH3:1][C@H:2]([NH2:3])[CH2:4][Cl:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
26,26,[CH3:1][C@H:2]([C:3]#[N:4])[CH2:5][Cl:6].[Cl-:7],"[[5, 4, 1, 6], [5, 4, 6]]"
27,27,[CH3:1][C@H:2]([NH2:3])[CH2:4][Cl:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
28,28,[CH3:1][CH:2]([CH3:3])[CH2:4][Cl:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
29,29,[NH2:1][CH:2]([NH2:3])[CH2:4][Br:5].[H-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
30,30,[CH3:1][C@H:2]([NH2:3])[CH2:4][Br:5].[H-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
31,31,[NH2:1][CH:2]([NH2:3])[CH2:4][Br:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
32,32,[N:1]#[C:2][C@H:3]([NH2:4])[CH2:5][Br:6].[Cl-:7],"[[5, 4, 2, 6], [5, 4, 6]]"
33,33,[CH3:1][C@H:2]([NH2:3])[CH2:4][Br:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
34,34,[N:1]#[C:2][C@H:3]([NH2:4])[CH2:5][Br:6].[Br-:7],"[[5, 4, 2, 6], [5, 4, 6]]"
35,35,[NH2:1][CH2:2][CH2:3][F:4].[H-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
36,36,[NH2:1][CH2:2][CH2:3][F:4].[F-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
37,37,[N:1]#[C:2][C@@H:3]([NH2:4])[CH2:5][Cl:6].[F-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
39,39,[NH2:1][CH2:2][CH2:3][Br:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
40,40,[NH2:1][CH2:2][CH2:3][Br:4].[Br-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
41,41,[CH3:1][CH:2]([CH3:3])[CH2:4][Cl:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
42,42,[NH2:1][C@@H:2]([CH2:3][Cl:4])[N+:5](=[O:6])[O-:7].[F-:8],"[[3, 2, 7], [3, 2, 1, 7]]"
43,43,[CH3:1][C@@H:2]([C:3]#[N:4])[CH2:5][Cl:6].[Cl-:7],"[[5, 4, 1, 6], [5, 4, 6]]"
44,44,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Cl:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
45,45,[NH2:1][C@@H:2]([CH2:3][Cl:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
46,46,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Br:5].[H-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
47,47,[N:1]#[C:2][C@@H:3]([NH2:4])[CH2:5][Br:6].[F-:7],"[[5, 4, 6], [5, 4, 2, 6]]"
48,48,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Br:5].[F-:6],"[[4, 3, 5], [4, 3, 1, 5]]"
49,49,[NH2:1][CH:2]([NH2:3])[CH2:4][Br:5].[Cl-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
50,50,[NH2:1][C@@H:2]([CH2:3][Br:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
51,51,[NH2:1][CH:2]([NH2:3])[CH2:4][Br:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
52,52,[CH3:1][C:2]([CH3:3])([Br:4])[N+:5](=[O:6])[O-:7].[F-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
53,53,[CH3:1][C@H:2]([Br:3])[N+:4](=[O:5])[O-:6].[F-:7],"[[2, 1, 0, 6], [2, 1, 6]]"
54,54,[CH3:1][CH2:2][C@H:3]([Br:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
55,55,[CH3:1][C@H:2]([Br:3])[N+:4](=[O:5])[O-:6].[Cl-:7],"[[2, 1, 0, 6], [2, 1, 6]]"
56,56,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
58,58,[NH2:1][CH2:2][C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
60,60,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 4, 9], [5, 4, 2, 9]]"
62,62,[NH2:1][CH:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
63,63,[NH2:1][CH2:2][C@H:3]([Br:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
64,64,[NH2:1][CH2:2][C@H:3]([Br:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
65,65,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 4, 9], [5, 4, 2, 9]]"
66,66,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
67,67,[CH3:1][C@@H:2]([Br:3])[CH2:4][NH2:5].[Cl-:6],"[[2, 1, 3, 5], [2, 1, 5]]"
69,69,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 4, 9], [5, 4, 2, 9]]"
70,70,[N:1]#[C:2][CH2:3][C@H:4]([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 2, 8]]"
71,71,[CH3:1][CH:2]([CH3:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
73,73,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8], [4, 3, 2, 8]]"
74,74,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
75,75,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
76,76,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
77,77,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
78,78,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
80,80,[NH2:1][CH2:2][C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
81,81,[NH2:1][CH2:2][C@:3]([NH2:4])([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
82,82,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
83,83,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[H-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
84,84,[CH3:1][C@H:2]([F:3])[C:4]#[N:5].[F-:6],"[[2, 1, 5], [2, 1, 0, 5]]"
85,85,[CH3:1][C@H:2]([Cl:3])[C:4]#[N:5].[F-:6],"[[2, 1, 5], [2, 1, 0, 5]]"
86,86,[CH3:1][C:2]([Cl:3])([C:4]#[N:5])[C:6]#[N:7].[Cl-:8],"[[2, 1, 0, 7], [2, 1, 7]]"
87,87,[CH3:1][C@H:2]([Br:3])[C:4]#[N:5].[Br-:6],"[[2, 1, 0, 5], [2, 1, 5]]"
88,88,[CH3:1][CH2:2][C@H:3]([Cl:4])[C:5]#[N:6].[F-:7],"[[3, 2, 6], [3, 2, 1, 6]]"
89,89,[CH3:1][CH2:2][C@@H:3]([CH3:4])[Cl:5].[Cl-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
90,90,[CH3:1][CH2:2][C@H:3]([Cl:4])[C:5]#[N:6].[Cl-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
91,91,[CH3:1][C@@H:2]([C:3]#[N:4])[C@H:5]([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 1, 8], [5, 4, 8]]"
92,92,[NH2:1][CH2:2][C@H:3]([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 7], [3, 2, 1, 7]]"
93,93,[N:1]#[C:2][C@@H:3]([Cl:4])[CH2:5][NH2:6].[F-:7],"[[3, 2, 6], [3, 2, 4, 6]]"
94,94,[N:1]#[C:2][C@@H:3]([Cl:4])[CH2:5][NH2:6].[Br-:7],"[[3, 2, 4, 6], [3, 2, 6]]"
95,95,[N:1]#[C:2][CH2:3][C@H:4]([Cl:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 2, 7]]"
96,96,[NH2:1][CH2:2][C@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
97,97,[CH3:1][C@@H:2]([Cl:3])[CH2:4][NH2:5].[Br-:6],"[[2, 1, 3, 5], [2, 1, 5]]"
98,98,[N:1]#[C:2][C@@H:3]([Br:4])[C@@H:5]([NH2:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[3, 2, 4, 9], [3, 2, 9]]"
99,99,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 2, 7], [4, 3, 7]]"
100,100,[CH3:1][C@@:2]([Br:3])([C:4]#[N:5])[CH2:6][NH2:7].[Br-:8],"[[2, 1, 5, 7], [2, 1, 7]]"
101,101,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([Cl:6])[C:7]#[N:8].[F-:9],"[[5, 4, 8], [5, 4, 2, 8]]"
102,102,[N:1]#[C:2][C@H:3]([NH2:4])[C@H:5]([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 2, 8], [5, 4, 8]]"
103,103,[CH3:1][CH2:2][C@H:3]([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 7], [3, 2, 1, 7]]"
104,104,[CH3:1][CH2:2][C@H:3]([Cl:4])[C:5]#[N:6].[Br-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
106,106,[N:1]#[C:2][CH2:3][C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 2, 7]]"
107,107,[CH3:1][CH:2]([CH3:3])[C@@H:4]([NH2:5])[F:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
108,108,[CH3:1][CH:2]([CH3:3])[C@H:4]([Cl:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
109,109,[CH3:1][CH:2]([CH3:3])[C@H:4]([Cl:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
110,110,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Cl:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
111,111,[CH3:1][CH:2]([CH3:3])[C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
112,112,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
113,113,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
114,114,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
115,115,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Cl:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
116,116,[CH3:1][C@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 8], [5, 3, 1, 8]]"
117,117,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[Br-:8],"[[3, 2, 4, 7], [3, 2, 7]]"
118,118,[CH3:1][C@H:2]([C:3]#[N:4])[C@H:5]([Br:6])[C:7]#[N:8].[F-:9],"[[5, 4, 8], [5, 4, 1, 8]]"
119,119,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
120,120,[CH3:1][C@H:2]([NH2:3])[CH2:4][Br:5].[Cl-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
121,121,[CH3:1][C@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
122,122,[CH3:1][CH:2]([CH3:3])[C@H:4]([Br:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
123,123,[N:1]#[C:2][C@@H:3]([Br:4])[CH:5]([NH2:6])[NH2:7].[Br-:8],"[[3, 2, 4, 7], [3, 2, 7]]"
126,126,[CH3:1][C@H:2]([Cl:3])[C:4]#[N:5].[Cl-:6],"[[2, 1, 0, 5], [2, 1, 5]]"
127,127,[N:1]#[C:2][C:3]([Cl:4])([C:5]#[N:6])[CH2:7][NH2:8].[Cl-:9],"[[3, 2, 6, 8], [3, 2, 8]]"
128,128,[N:1]#[C:2][C@@H:3]([Cl:4])[CH2:5][NH2:6].[Cl-:7],"[[3, 2, 4, 6], [3, 2, 6]]"
131,131,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
132,132,[N:1]#[C:2][C@@:3]([NH2:4])([Br:5])[CH2:6][NH2:7].[F-:8],"[[4, 2, 7], [4, 2, 5, 7]]"
133,133,[N:1]#[C:2][C@@H:3]([Cl:4])[C@H:5]([NH2:6])[C:7]#[N:8].[H-:9],"[[3, 2, 8], [3, 2, 4, 8]]"
134,134,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Cl:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
135,135,[CH3:1][C@@H:2]([NH2:3])[CH2:4][Cl:5].[Cl-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
136,136,[CH3:1][C@@H:2]([NH2:3])[C@:4]([CH3:5])([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 8], [5, 3, 1, 8]]"
137,137,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Cl:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
138,138,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[H-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
139,139,[N:1]#[C:2][C@@:3]([NH2:4])([Cl:5])[CH:6]([NH2:7])[NH2:8].[H-:9],"[[4, 2, 5, 8], [4, 2, 8]]"
140,140,[NH2:1][CH:2]([NH2:3])[C@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
141,141,[NH2:1][CH:2]([NH2:3])[CH2:4][Cl:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
142,142,[N:1]#[C:2][C@@H:3]([Cl:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 2, 7], [3, 2, 4, 7]]"
143,143,[N:1]#[C:2][C@@H:3]([Br:4])[CH:5]([NH2:6])[NH2:7].[F-:8],"[[3, 2, 7], [3, 2, 4, 7]]"
144,144,[CH3:1][CH:2]([CH3:3])[F:4].[H-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
145,145,[CH3:1][CH:2]([CH3:3])[Cl:4].[H-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
146,146,[CH3:1][C:2]([CH3:3])([Cl:4])[C:5]#[N:6].[Cl-:7],"[[3, 1, 0, 6], [3, 1, 6]]"
147,147,[CH3:1][CH:2]([CH3:3])[Br:4].[Cl-:5],"[[3, 1, 0, 4], [3, 1, 4]]"
148,148,[CH3:1][C:2]([CH3:3])([Br:4])[C:5]#[N:6].[Cl-:7],"[[3, 1, 0, 6], [3, 1, 6]]"
149,149,[CH3:1][C@@H:2]([F:3])[C@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
150,150,[CH3:1][C@@H:2]([Cl:3])[C@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
151,151,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Cl:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
152,152,[CH3:1][C@@H:2]([Cl:3])[CH2:4][C:5]#[N:6].[F-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
153,153,[CH3:1][CH2:2][C@@H:3]([CH3:4])[Cl:5].[H-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
154,154,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Cl:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
155,155,[CH3:1][CH2:2][C@@H:3]([CH3:4])[Cl:5].[F-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
156,156,[CH3:1][CH2:2][C@@H:3]([CH3:4])[Br:5].[F-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
157,157,[CH3:1][CH2:2][C@@H:3]([CH3:4])[Br:5].[H-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
158,158,[CH3:1][C@@H:2]([Br:3])[CH2:4][C:5]#[N:6].[F-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
159,159,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Br:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
160,160,[CH3:1][C@@H:2]([Cl:3])[CH2:4][NH2:5].[Cl-:6],"[[2, 1, 3, 5], [2, 1, 5]]"
161,161,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8], [2, 1, 3, 8]]"
162,162,[CH3:1][C@@H:2]([Cl:3])[CH:4]([NH2:5])[NH2:6].[F-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
163,163,[CH3:1][C@@H:2]([Cl:3])[CH2:4][NH2:5].[F-:6],"[[2, 1, 5], [2, 1, 3, 5]]"
164,164,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[Cl-:8],"[[2, 1, 3, 7], [2, 1, 7]]"
165,165,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
166,166,[CH3:1][C@@H:2]([Br:3])[CH2:4][NH2:5].[F-:6],"[[2, 1, 5], [2, 1, 3, 5]]"
167,167,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[F-:7],"[[2, 1, 3, 6], [2, 1, 6]]"
168,168,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([CH3:5])[Br:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
169,169,[CH3:1][C@@H:2]([F:3])[C@@H:4]([NH2:5])[C:6]#[N:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
170,170,[CH3:1][C@@H:2]([C:3]#[N:4])[C:5]([CH3:6])([CH3:7])[F:8].[H-:9],"[[7, 4, 8], [7, 4, 1, 8]]"
171,171,[CH3:1][C@@H:2]([C:3]#[N:4])[C@:5]([CH3:6])([NH2:7])[F:8].[H-:9],"[[7, 4, 8], [7, 4, 1, 8]]"
172,172,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([CH3:6])[F:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
175,175,[CH3:1][C@@H:2]([Cl:3])[C@H:4]([CH3:5])[C:6]#[N:7].[F-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
177,177,[CH3:1][CH2:2][C@@:3]([CH3:4])([Cl:5])[C:6]#[N:7].[Cl-:8],"[[4, 2, 1, 7], [4, 2, 7]]"
178,178,[CH3:1][CH2:2][C:3]([CH3:4])([CH3:5])[Br:6].[H-:7],"[[5, 2, 6], [5, 2, 1, 6]]"
179,179,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([CH3:5])[Br:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
180,180,[CH3:1][CH2:2][C@@:3]([CH3:4])([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
182,182,[CH3:1][C@H:2]([C:3]#[N:4])[C@H:5]([F:6])[C:7]#[N:8].[H-:9],"[[5, 4, 8], [5, 4, 1, 8]]"
183,183,[CH3:1][C@@H:2]([F:3])[C@H:4]([CH3:5])[C:6]#[N:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
184,184,[CH3:1][CH:2]([CH3:3])[C@H:4]([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
185,185,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
186,186,[CH3:1][CH2:2][C@@H:3]([CH3:4])[F:5].[H-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
187,187,[CH3:1][C@@H:2]([F:3])[CH:4]([NH2:5])[NH2:6].[H-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
